lat,lng,women_40plus
35.900169,140.187742,242
35.893051,140.170669,102
35.898345,140.194255,353
35.908336,140.191039,75
35.900141,140.209874,801
35.901111,140.156572,71
35.894111,140.1817,196
35.912075,140.194031,283
35.887348,140.142503,61
35.892103,140.160103,83
35.902149,140.165623,70
35.913882,140.227525,109
35.922096,140.184068,169
35.920201,140.175296,608
35.923134,140.156989,209
35.918432,140.244446,149
35.913663,140.198579,350
35.88337,140.138565,36
35.92149,140.210375,997
35.924455,140.192491,140
35.915532,140.235645,181
35.933501,140.132265,12
35.905392,140.174235,314
35.929841,140.178071,1053
35.930934,140.183023,28
35.939142,140.158454,1326
35.901543,140.176558,278
35.921917,140.147532,518
35.893931,140.22031,150
35.908779,140.197762,275
35.879852,140.145926,532
35.924371,140.22256,718
35.915707,140.212224,170
35.911653,140.199296,128
35.908058,140.186511,53
35.936962,140.147586,846
35.944906,140.163275,1636
35.927744,140.17459,761
35.926314,140.160222,811
35.931446,140.16439,867
35.908464,140.194185,115
35.903638,140.171858,19
35.926922,140.146873,83
36.189757,139.956315,2113
36.18655,139.9682,114
36.183797,139.966089,114
36.181923,139.966018,81
36.181305,139.954452,70
36.18898,139.945159,517
36.194984,139.944843,91
36.203958,139.975998,150
36.212823,139.974749,228
36.208142,139.98451,52
36.199856,139.986192,93
36.193635,139.982109,52
36.188114,139.995609,31
36.190186,139.985304,142
36.195813,139.976185,184
36.195211,139.970049,114
36.216951,139.965217,146
36.196777,139.954236,350
36.218146,139.98227,413
36.221545,139.969709,69
36.22711,139.988137,40
36.205178,139.991131,57
36.213762,139.989791,56
36.212721,139.999857,67
36.222113,139.998763,71
36.219663,139.926673,194
36.213177,139.932109,18
36.233488,139.931926,455
36.227583,139.915502,119
36.214004,139.918641,18
36.210005,139.92167,27
36.204665,139.922406,102
36.206928,139.932282,80
36.200059,139.934342,286
36.212479,139.944769,529
36.201281,139.943777,127
36.217705,139.954781,269
36.17351,139.96805,370
36.1669,139.948672,130
36.176221,139.947991,169
36.178728,139.938205,96
36.180523,139.986272,37
36.180955,139.978818,153
36.169508,139.985031,428
36.161758,139.994669,39
36.16839,139.974945,79
36.165788,140.00129,64
36.17158,139.995156,46
36.176342,139.999093,85
36.181415,139.995771,22
36.177523,140.006552,86
36.196766,140.003395,1047
36.192389,139.968636,35
36.187439,139.970527,116
36.153983,139.996591,147
36.14289,139.99516,150
36.165886,139.967527,114
36.166342,139.958964,198
36.16004,139.968677,215
36.157006,139.975877,332
36.150673,139.972615,34
36.155045,139.982906,47
36.15162,139.981212,73
36.148403,139.980895,40
36.145911,139.98298,19
36.144323,139.973809,252
36.151177,139.966458,44
36.153117,139.961846,122
36.153852,139.954696,433
36.152417,139.941966,160
36.144005,139.939475,277
36.138563,139.927773,107
36.160505,139.923016,125
36.008049,139.979938,191
36.014732,139.983737,511
36.018612,139.985213,71
36.020473,139.984228,106
36.023651,139.986268,49
36.019895,139.988004,163
36.019773,139.990592,208
36.023038,139.994021,234
36.026586,139.991568,514
36.031123,139.988047,478
36.019019,139.995861,232
36.010682,139.991027,470
36.00247,139.99188,85
36.039148,139.962919,1948
36.047519,139.959567,32
36.047615,139.965056,59
36.057237,139.947622,56
36.082341,139.953417,602
36.067451,139.945886,171
36.067841,139.940395,45
36.048679,139.981079,144
36.069014,139.973331,201
36.083078,139.96119,145
36.056184,139.987025,911
36.085051,139.97516,510
36.059089,139.996684,53
36.069043,139.992197,82
36.088651,139.993933,91
36.079682,139.997962,253
36.055589,140.008122,146
36.036061,139.986518,123
36.03354,139.998133,187
36.042496,139.999366,97
36.035851,140.007028,35
36.042044,140.012308,124
36.04954,140.019094,65
36.038017,140.023458,82
36.030612,140.020038,35
36.029617,140.013632,30
36.027704,140.008621,36
36.023701,140.002779,123
36.022636,139.942809,643
35.981798,139.961709,672
35.993654,139.959172,522
35.981206,139.928024,854
36.011068,139.936667,308
36.111373,139.978797,1007
36.103812,139.969896,188
36.098201,139.983616,138
36.097425,139.974611,65
36.098892,139.977243,157
36.092816,139.980529,13
36.125089,139.971264,729
36.137698,139.95797,273
36.137145,139.966978,271
36.134363,139.979264,160
36.120996,139.992795,401
36.132481,139.994452,54
36.107182,139.995336,214
36.096557,139.998279,88
36.116173,139.929792,221
36.104307,139.92834,55
36.09739,139.933031,103
36.130485,139.922927,229
36.106529,139.922103,17
36.112389,139.919211,73
